Baseline 100%T,,Baseline 0%T,,blanco,,blanco1,,t1_casca,,t1_topo,,t1_meio,,t1_base,,s1_0_20,,s1_20_40,,s1_40_60,,t4_casca,,t4_topo,,t4_meio,,t4_base,,s4_0_20,,s4_10_40,,s4_40_60,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R
2478.5,72.13525391,2478.5,0.410626769,2478.5,98.46075439,2478.5,98.525383,2478.5,50.82762909,2478.5,52.75057983,2478.5,48.94731903,2478.5,52.27713776,2478.5,54.27531433,2478.5,48.18759155,2478.5,41.27112961,2478.5,44.503479,2478.5,44.37446976,2478.5,43.67965698,2478.5,47.05443954,2478.5,43.72629929,2478.5,43.21264267,2478.5,45.6285553
2478,70.81748962,2478,-0.822225332,2478,102.1392975,2478,100.0544891,2478,53.9033432,2478,52.95014954,2478,51.32394409,2478,51.5283699,2478,55.27981567,2478,50.10337067,2478,43.9443779,2478,48.94597244,2478,46.52236557,2478,45.71717072,2478,48.0523262,2478,45.56905365,2478,45.11065674,2478,46.73290253
2477.5,70.70852661,2477.5,0.29899022,2477.5,99.25979614,2477.5,100.2668762,2477.5,51.5365715,2477.5,51.57988739,2477.5,51.10522461,2477.5,51.7828598,2477.5,56.49864578,2477.5,49.33483124,2477.5,43.58357239,2477.5,46.94583893,2477.5,45.63001633,2477.5,44.621418,2477.5,47.14389801,2477.5,44.703125,2477.5,44.23018265,2477.5,46.20170975
2477,70.87499237,2477,0.65901053,2477,99.17247009,2477,100.2017059,2477,52.42272186,2477,51.6011734,2477,49.76630402,2477,52.64577103,2477,52.56788635,2477,48.36444092,2477,42.74620056,2477,47.18451691,2477,44.65267181,2477,44.49884796,2477,46.77760696,2477,44.49217606,2477,44.43639374,2477,45.03248215
2476.5,71.29415894,2476.5,0.057332031,2476.5,99.91557312,2476.5,99.75137329,2476.5,52.69372559,2476.5,52.65330505,2476.5,49.79660797,2476.5,51.02803802,2476.5,54.82489014,2476.5,47.98194122,2476.5,44.03549576,2476.5,47.51486588,2476.5,45.47964096,2476.5,44.86100006,2476.5,48.03107452,2476.5,45.18831253,2476.5,42.88777542,2476.5,45.71296692
2476,71.34877777,2476,0.042389743,2476,99.85812378,2476,99.40072632,2476,52.32751846,2476,52.95629501,2476,51.75950623,2476,51.72060013,2476,54.98604202,2476,48.59449768,2476,42.94280624,2476,48.17592621,2476,45.39273071,2476,44.19280624,2476,48.00844955,2476,43.65764999,2476,43.81826782,2476,46.77461243
2475.5,70.34746552,2475.5,-0.644210875,2475.5,100.2902527,2475.5,100.5000839,2475.5,53.61903763,2475.5,53.5699501,2475.5,52.23868561,2475.5,51.96298981,2475.5,55.76409149,2475.5,51.19999695,2475.5,45.20317459,2475.5,47.81791687,2475.5,46.07959366,2475.5,46.38235092,2475.5,47.71017838,2475.5,45.77618408,2475.5,45.18938065,2475.5,46.51408386
2475,71.73088074,2475,-1.359297514,2475,98.55029297,2475,97.91606903,2475,53.49747467,2475,53.29937363,2475,51.77205276,2475,53.33913422,2475,56.20106888,2475,48.27066803,2475,44.06171036,2475,46.46723938,2475,44.53946686,2475,46.36958313,2475,47.46378326,2475,46.13006592,2475,44.10840988,2475,45.90898132
2474.5,70.69232178,2474.5,-0.845261931,2474.5,100.5200729,2474.5,99.88786316,2474.5,54.9290657,2474.5,53.72213745,2474.5,52.4525032,2474.5,53.30467224,2474.5,56.25353622,2474.5,50.0129509,2474.5,44.17661285,2474.5,49.44701385,2474.5,46.13903427,2474.5,46.20895386,2474.5,48.44552994,2474.5,46.314991,2474.5,45.40742493,2474.5,46.98692703
2474,70.83299255,2474,1.140767813,2474,99.40660095,2474,97.36915588,2474,53.18758011,2474,53.33948898,2474,51.06502151,2474,50.81328583,2474,54.98644257,2474,47.42254257,2474,41.98090363,2474,47.95278168,2474,44.74055099,2474,44.7036171,2474,46.05052185,2474,45.74205399,2474,44.62375259,2474,45.85924911
2473.5,70.9405899,2473.5,-0.523495436,2473.5,99.71774292,2473.5,100.1220551,2473.5,54.51197815,2473.5,54.31028748,2473.5,52.27630615,2473.5,51.14242935,2473.5,55.22658157,2473.5,49.39308929,2473.5,43.80492401,2473.5,48.6313324,2473.5,45.44466019,2473.5,46.13835526,2473.5,48.61354065,2473.5,45.66444016,2473.5,44.21807861,2473.5,46.80513763
2473,70.42177582,2473,0.572439194,2473,101.153923,2473,100.6200333,2473,53.61367035,2473,51.81035995,2473,52.26485825,2473,53.28889465,2473,55.29415512,2473,48.68255997,2473,46.05226898,2473,50.14313507,2473,44.96993256,2473,45.24272919,2473,48.07647705,2473,45.63684082,2473,44.37811279,2473,45.44679642
2472.5,69.97302246,2472.5,-1.115009785,2472.5,101.1171799,2472.5,100.6748352,2472.5,54.67284393,2472.5,55.68939972,2472.5,52.65607834,2472.5,53.93393707,2472.5,54.15080643,2472.5,51.50077438,2472.5,43.90819931,2472.5,46.92947006,2472.5,47.59661484,2472.5,47.59691238,2472.5,49.64723587,2472.5,47.83903503,2472.5,46.3444519,2472.5,47.8003273
2472,71.14139557,2472,0.191619992,2472,100.0512009,2472,98.75235748,2472,53.53746414,2472,53.65112305,2472,51.01911926,2472,50.88640594,2472,54.48664856,2472,48.61798477,2472,44.43424988,2472,46.94747162,2472,45.81427002,2472,44.55843353,2472,46.96063232,2472,44.26874924,2472,43.58779907,2472,45.55050659
2471.5,72.12833405,2471.5,-0.216122314,2471.5,97.8453064,2471.5,98.57662964,2471.5,52.12955475,2471.5,52.46482468,2471.5,51.34720612,2471.5,52.5219574,2471.5,54.63736725,2471.5,48.62466812,2471.5,43.70084381,2471.5,47.32694626,2471.5,45.24105072,2471.5,45.04221725,2471.5,47.03921127,2471.5,44.72563171,2471.5,43.09358215,2471.5,45.33513641
2471,70.605896,2471,0.622195244,2471,100.6470642,2471,99.99982452,2471,52.81716156,2471,53.54582596,2471,51.66651154,2471,54.0008316,2471,57.04066849,2471,49.72363663,2471,43.90566254,2471,46.93721771,2471,45.07043457,2471,45.00156784,2471,45.64279175,2471,46.52273178,2471,43.83857727,2471,45.65224838
2470.5,71.21313477,2470.5,-0.347262621,2470.5,100.689064,2470.5,99.24921417,2470.5,53.31961441,2470.5,54.04970169,2470.5,51.87604523,2470.5,52.72072983,2470.5,56.44360352,2470.5,48.38647079,2470.5,44.25214767,2470.5,47.42702866,2470.5,46.00720215,2470.5,46.43949127,2470.5,47.78061676,2470.5,46.08135986,2470.5,43.59230423,2470.5,46.59142303
2470,69.99052429,2470,0.656071127,2470,100.9919434,2470,101.0757675,2470,53.59832764,2470,54.44233322,2470,52.39796066,2470,53.50778198,2470,55.47116852,2470,50.89353943,2470,44.90481567,2470,48.30065536,2470,47.2367363,2470,46.36488724,2470,46.40991974,2470,43.84138107,2470,45.27709579,2470,46.00764465
2469.5,70.83279419,2469.5,0.963069677,2469.5,100.7748566,2469.5,100.1059036,2469.5,53.19639587,2469.5,52.28572464,2469.5,50.68180466,2469.5,51.94232559,2469.5,54.98267365,2469.5,48.85897827,2469.5,42.33884811,2469.5,48.75894928,2469.5,44.23802948,2469.5,44.92264557,2469.5,48.52522278,2469.5,45.46212769,2469.5,44.08415604,2469.5,45.77503967
2469,70.77664185,2469,0.711677551,2469,101.4012299,2469,99.93041992,2469,52.99300385,2469,53.20855331,2469,51.07836151,2469,52.11313248,2469,55.46599579,2469,47.94138718,2469,43.26593399,2469,47.28484726,2469,45.21663666,2469,45.03184128,2469,47.35293579,2469,44.62582016,2469,44.87004089,2469,46.99647903
2468.5,71.4322052,2468.5,0.53030777,2468.5,98.39096069,2468.5,100.1565094,2468.5,53.05982971,2468.5,52.70990753,2468.5,51.38844299,2468.5,51.6713562,2468.5,55.75984573,2468.5,48.75776291,2468.5,43.17872238,2468.5,47.15924454,2468.5,45.40858459,2468.5,44.92565536,2468.5,47.5078125,2468.5,44.47545242,2468.5,44.35660934,2468.5,47.6534729
2468,70.8084259,2468,0.087935515,2468,100.6184006,2468,100.7126694,2468,53.71845245,2468,52.94310379,2468,53.60502625,2468,52.72851563,2468,54.33362198,2468,49.11843109,2468,42.19941711,2468,46.86565399,2468,45.77342987,2468,45.61010742,2468,48.9421463,2468,46.05955887,2468,44.27659988,2468,45.85582733
2467.5,70.51613617,2467.5,0.332033604,2467.5,100.3921051,2467.5,100.5724335,2467.5,54.38510895,2467.5,54.6912117,2467.5,50.44768906,2467.5,52.97732925,2467.5,56.25372696,2467.5,49.98132706,2467.5,43.04167175,2467.5,47.93080521,2467.5,45.43017578,2467.5,46.84627533,2467.5,47.4415741,2467.5,45.2918129,2467.5,43.24305725,2467.5,46.26990891
2467,70.84199524,2467,0.453866005,2467,100.9723053,2467,100.3952713,2467,52.48979187,2467,52.69039917,2467,51.20870972,2467,53.67359924,2467,55.792099,2467,49.02159119,2467,44.65404892,2467,49.50990677,2467,46.06031036,2467,45.36948776,2467,46.93387604,2467,46.53411484,2467,43.45104218,2467,45.87436676
2466.5,70.86432648,2466.5,1.368562341,2466.5,100.2128983,2466.5,100.5407104,2466.5,54.04294586,2466.5,52.18582916,2466.5,51.27455139,2466.5,51.41451263,2466.5,53.21465683,2466.5,49.18257523,2466.5,43.18131638,2466.5,47.13426971,2466.5,46.17907715,2466.5,45.60464478,2466.5,47.47108841,2466.5,44.74720001,2466.5,43.47968292,2466.5,45.82138824
2466,71.65113068,2466,0.463256568,2466,98.99996185,2466,99.75045013,2466,52.56013107,2466,53.39810181,2466,50.94754791,2466,52.37677002,2466,54.73269653,2466,48.43880081,2466,44.0865593,2466,47.36242294,2466,45.78442764,2466,44.41454315,2466,46.86338425,2466,45.26445389,2466,43.59323502,2466,45.35525513
2465.5,70.93589783,2465.5,0.11628104,2465.5,100.2116089,2465.5,101.3616409,2465.5,53.1748848,2465.5,53.12419128,2465.5,51.77856064,2465.5,53.32174301,2465.5,56.82948303,2465.5,50.42944717,2465.5,44.76869583,2465.5,48.41115952,2465.5,45.35206223,2465.5,46.76086426,2465.5,47.98222733,2465.5,45.49701309,2465.5,43.85079193,2465.5,46.78856277
2465,71.00120544,2465,0.00815251,2465,101.6367416,2465,98.74849701,2465,53.51226807,2465,54.09470749,2465,50.66910934,2465,53.33275604,2465,56.31575012,2465,50.07302856,2465,44.9573288,2465,49.50541687,2465,45.8330574,2465,46.65258026,2465,46.92032242,2465,44.49206924,2465,44.96085358,2465,46.82219696
